timestamp,elapsed_s,power_w,cpu_temp_c,p_core_max_mhz,p_core_avg_mhz,e_core_max_mhz,e_core_avg_mhz,gpu_act_mhz,gpu_cur_mhz,gpu_throttle_reasons,th_pl1,th_pl2,th_thermal,th_prochot
1787564061.0706606,2743.33,0.0,83,4499,1180.9,3301,846.4,1300,1300,none,0,0,0,0
1787564061.3227963,2743.581,0.0,84,4441,1601.9,3300,1124.9,1300,1300,none,0,0,0,0
1787564061.5739255,2743.833,0.0,81,4500,928.1,3292,761.5,1300,1300,none,0,0,0,0
1787564061.8250477,2744.084,0.0,85,4499,1909.4,2743,1339.8,1300,1300,none,0,0,0,0
1787564062.0764275,2744.336,0.0,84,4434,1625.8,1437,529.6,1300,1300,none,0,0,0,0
1787564062.327695,2744.587,0.0,83,4500,3382.2,3059,2063.0,1300,1300,none,0,0,0,0
1787564062.5793383,2744.838,0.0,88,4500,1868.0,1458,632.2,1300,1300,none,0,0,0,0
1787564062.8306546,2745.09,0.0,81,4500,1756.2,400,399.9,1300,1300,none,0,0,0,0
1787564063.0819252,2745.341,0.0,81,4500,1612.0,1947,683.5,1300,1300,none,0,0,0,0
1787564063.3330557,2745.592,0.0,85,4499,1813.1,3299,1600.2,1300,1300,none,0,0,0,0
1787564063.5842817,2745.844,0.0,83,4500,1365.2,2095,611.9,1300,1300,none,0,0,0,0
1787564063.8354495,2746.095,0.0,83,4500,2046.8,3058,990.6,1300,1300,none,0,0,0,0
1787564064.0865965,2746.346,0.0,84,4111,1696.1,544,418.0,1300,1300,none,0,0,0,0
1787564064.3377852,2746.597,0.0,81,4442,1970.9,3299,1168.8,1300,1300,none,0,0,0,0
1787564064.589042,2746.848,0.0,83,4491,1829.1,3297,798.8,1300,1300,none,0,0,0,0
1787564064.8404264,2747.1,0.0,84,4500,1960.0,3300,858.1,1300,1300,none,0,0,0,0
1787564065.0916176,2747.351,0.0,80,4500,1764.5,1742,567.8,1300,1300,none,0,0,0,0
1787564065.342781,2747.602,0.0,88,4499,1000.6,3300,1124.6,1300,1300,none,0,0,0,0
1787564065.594152,2747.853,0.0,83,4500,1599.1,531,416.4,1300,1300,none,0,0,0,0
1787564065.8452406,2748.105,0.0,83,4500,1750.2,1733,609.5,1300,1300,none,0,0,0,0
1787564066.096368,2748.356,0.0,85,4500,1337.2,2520,909.8,1300,1300,none,0,0,0,0
1787564066.3476195,2748.607,0.0,80,4500,2483.4,1827,578.4,1300,1300,none,0,0,0,0
1787564066.598843,2748.858,0.0,84,4500,1363.8,1395,588.1,1300,1300,none,0,0,0,0
1787564066.8497605,2749.109,0.0,84,4215,1051.8,2837,1242.0,1300,1300,none,0,0,0,0
1787564067.1008694,2749.36,0.0,84,4452,1493.9,2170,933.2,1300,1300,none,0,0,0,0
1787564067.3520284,2749.611,0.0,87,4500,1682.9,1995,758.5,1300,1300,none,0,0,0,0
1787564067.6033525,2749.863,0.0,85,4500,1640.9,977,472.1,1300,1300,none,0,0,0,0
1787564067.854561,2750.114,0.0,84,4500,1899.9,1096,487.0,1300,1300,none,0,0,0,0
1787564068.105729,2750.365,0.0,88,4500,1189.2,3291,957.6,1300,1300,none,0,0,0,0
1787564068.3570445,2750.616,0.0,87,4364,2723.2,3299,1259.8,1300,1300,none,0,0,0,0
1787564068.608245,2750.868,0.0,85,4205,1675.5,3300,1197.5,1300,1300,none,0,0,0,0
1787564068.8593829,2751.119,0.0,87,4499,1938.8,3295,1125.4,1300,1300,none,0,0,0,0
1787564069.110645,2751.37,0.0,80,4500,1791.0,2349,770.6,1300,1300,none,0,0,0,0
1787564069.361956,2751.621,0.0,80,4500,2697.1,2993,1363.0,1300,1300,none,0,0,0,0
1787564069.6133463,2751.872,0.0,84,4397,2608.5,2100,612.5,1300,1300,none,0,0,0,0
1787564069.864488,2752.124,0.0,83,4350,3558.0,3293,2615.0,1300,1300,none,0,0,0,0
1787564070.1156929,2752.375,0.0,83,4419,2435.8,400,400.0,1300,1300,none,0,0,0,0
